Aspect_ratio,Avg_rating,Budget,Certificate,Country_of_origin,Director,Genres,Language,Production_companies,Release_date,Runtime,Sound_mix,Stars,Title,Writer,critic_reviews,description,id,total_ratings,user_reviews
1.33 : 1,5.7,,Not Rated,United States,William K.L. Dickson,"Documentary , Short",None,,"March 10, 1894 (United States)",1min,Silent,,Carmencita,,3,"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.",tt0000001,1.8K,13
,3.5,,,France,Georges Méliès,,None,,1896 (France),,Silent,,Dessinateur express,,,This lost film featured a talented sketch artist drawing the statesman and historian Adolphe Thiers with stunning rapidity.,tt00000063,23,
,4.7,,,France,Georges Méliès,"Documentary , Short",None,,1896 (France),,Silent,,Cortège de tzar au Bois de Boulogne,,,,tt00000058,28,
,4.1,,,United Kingdom,Birt Acres,,None,,March 1896 (United Kingdom),,Silent,,Dancing Girls,,,,tt00000061,22,
,3.5,,,France,Georges Méliès,,None,,1896 (France),,Silent,,Couronnement de la rosière,,,"Little is known about this lost film, which presumably features a coronation of the rosary, or a celebration of the Coronation of the Virgin Mary.",tt00000059,24,
,3.2,,,United Kingdom,Henry Short,,None,,1896 (United Kingdom),,Silent,,Uma Corrida de Touros no Campo Pequeno,,,,tt00000056,20,
,4.7,,,France,Georges Méliès,"Documentary , Short",None,,1896 (France),,Silent,"Tsar Nicholas II , Tsarina Alexandra",Cortège de tzar allant à Versailles,,,,tt00000057,28,
1.36 : 1,7.7,,,United States,William K.L. Dickson,"Documentary , Short",None,,"September 12, 1896 (United States)",,Silent,,Dancing Darkies,,,"""A company of little darkies showing off their paces to the music of the banjo.""",tt00000060,82,
,6.4,,,France,Georges Méliès,,None,,"November 25, 1896 (France)",1min,Silent,,Danse serpentine,,,"This lost film is speculated to have featured a serpentine dance, possibly in an imitation of the Edison Studios' ""Annabelle"" films, except with a different dancer.",tt00000062,180,
,3.7,,,France,Georges Méliès,,None,,1896 (France),,Silent,,Le chiffonnier,,,,tt00000055,27,
,4.5,,,Mexico,Gabriel Veyre,"Documentary , Short",None,,1896 (Mexico),1min,Silent,,Carga de rurales,,,,tt00000052,84,
,3.4,,,Portugal,Francisco Pinto Moreira,"Documentary , Short",None,,"February 7, 1897 (Portugal)",,Silent,,A Chegada do Comboio Inaugural à Estação Central do Porto,,,,tt00000053,16,
,4.1,,,France,Georges Méliès,"Documentary , Short",None,,1896 (France),,Silent,,Campement de bohémiens,,,Very little is known of this lost film; according to the title it featured a gypsy camp.,tt00000051,31,
,5.3,,,France,Georges Méliès,,None,,1896 (France),,Silent,,Les chevaux de bois,,,"Very little is known of this lost Georges Melies film, but the title indicates it may have featured children riding a merry-go-round.",tt00000054,30,
,4.5,,,France,Georges Méliès,"Documentary , Short",None,,1896 (France),,Silent,,Bébé et fillettes,,,"Little is known about this lost film, which presumably features young baby girls.",tt00000050,30,
,5.3,,,United Kingdom,Birt Acres,"Short , Sport",None,,January 1896 (United Kingdom),,Silent,,"Boxing Match; or, Glove Contest",,,"Stage boxing match between Sergeant-Instructor Barrett and Sergeant Pope, with a round, interval, and knockout.",tt00000049,43,
1.33 : 1,5.3,,,United States,D.W. Griffith,"Short , Comedy",,"Biograph Company , Museum of Modern Art (MoMA)","June 24, 1909 (United States)",7min,Silent,"John R. Cumpson , Florence Lawrence , Anita Hendrie",The Peachbasket Hat,D.W. Griffith,,No more popular fad has ever struck the feminine fancy than the peachbasket hat. This is a creation of headgear that for size outstrips anything yet designed by the disordered mind of the mo...,tt00001000,39,
,4.8,,,United Kingdom,Birt Acres,,None,,January 1896 (United Kingdom),,Silent,,The Boxing Kangaroo,,,,tt00000048,164,
1.33 : 1,5.4,,,Denmark,Viggo Larsen,"Short , Drama",None,,1909 (Denmark),,Silent,"Edith Buemann , Rigmor Jerichau , Viggo Larsen",Paul Wangs skæbne,Viggo Larsen,,,tt00000999,9,
1.33 : 1,5.6,,,Italy,Ugo Falena,"Short , Drama , Romance",,,"November 13, 1909 (Denmark)",12min,Silent,"Ferruccio Garavaglia , Vittoria Lepanto , Cesare Dondine",Otello,"William Shakespeare , (play ""Othello"")",,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the s...,tt00000998,18,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,June 1909 (United Kingdom),,Silent,,One Good Turn Deserves Another,,,"A waif sees a girl kidnapped, saves her, and takes her home.",tt00000994,,
1.33 : 1,6.7,,,United States,D.W. Griffith,"Short , Drama",,,"November 22, 1909 (United States)",11min,Silent,"George Nichols , Kate Bruce , Edith Haldeman",The Open Gate,,,"Hetty is engaged to George, but after her sister dies she breaks the engagement in order to raise her sister's orphaned daughter. After many years, Hetty's niece has grown up and has fallen ...",tt00000997,16,
1.33 : 1,,,,United States,D.W. Griffith,"Short , Comedy",,,"May 6, 1909 (United States)",3min,Silent,"John R. Cumpson , Herbert Prior , Charles Avery",One Busy Hour,D.W. Griffith,,"Jim decides to sell his store because business is bad. When his prospective buyer comes to look the place over, Jim offers friends and strangers money to visit the store and make it look bus...",tt00000993,,
1.33 : 1,,,,United States,Francis Boggs,"Short , Action , Drama , History , Western",,,"November 25, 1909 (United States)",,Silent,"Hobart Bosworth , Betty Harte , Frank Walsh",On the Little Big Horn or Custer's Last Stand,,,"The order of disarmament, issued in the Winter of 1S74, and the arrest of ""Rain in the Face"" by young Tom Custer, is shown in our first three scenes. Then, ""two years later,"" we witness the ...",tt00000991,,
1.33 : 1,6.1,,,United States,J. Stuart Blackton,"Drama , Short",None,,"May 1, 1909 (United States)",14min,Silent,"Edith Storey , William Humphrey , Elita Proctor Otis",Oliver Twist,,,"An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",tt00000990,71,
1.33 : 1,7.4,,,United States,D.W. Griffith,"Short , Drama",,,"January 1, 1909 (United States)",10min,Silent,"Arthur V. Johnson , Florence Lawrence , Marion Leonard",One Touch of Nature,Stanner E.V. Taylor,,"Policeman John Murray is the proud father of a little girl and the happy husband of a dutiful wife. Both father's and mother's whole life is centered in their little one, and the little fami...",tt00000995,17,
1.33 : 1,4.3,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,June 1909 (United Kingdom),,Silent,,Only a Tramp,,,"A tramp returns a stolen necklace and is jailed, but saved by the magistrate's daughter.",tt00000996,10,
1.37 : 1,4.5,,,Denmark,Axel Graatkjær,"Short , Comedy",None,,1909 (Denmark),2min,Silent,,Den nærsynede guvernante,,,,tt00000988,17,
1.33 : 1,7.8,,,Denmark,Holger Rasmussen,"Short , Comedy",None,,"June 18, 1910 (United States)",,Silent,"Carl Alstrup , William Bewer , Edvard Jacobsen",Naar Djævle er paa Spil,,,"Here is a comical film. Brother Cook is a monk and a jolly one at that, his one fault being his liberal indulgence in exhilarating wines. A cure is effected by his colleagues who resort to a...",tt00000987,9,
